epoch	loss	acc	val_loss	val_acc
0	10.413451194763184	0.03500375524163246	6.615684509277344	0.07920420169830322
1	5.244387149810791	0.125	4.484502792358398	0.1692942976951599
2	3.8918559551239014	0.24418167769908905	3.4238016605377197	0.3171921968460083
3	3.128718614578247	0.3729354441165924	2.835447311401367	0.4418168067932129
4	2.525381088256836	0.5030030012130737	2.4035727977752686	0.5529279112815857
5	2.075869083404541	0.6130818128585815	2.105753183364868	0.6216216087341309
6	1.7332879304885864	0.6908783912658691	1.9356669187545776	0.6501501798629761
7	1.5025207996368408	0.7491554021835327	1.7908871173858643	0.6970720887184143
8	1.3362525701522827	0.7936373949050903	1.710081934928894	0.7218468189239502
9	1.2042754888534546	0.8280780911445618	1.6645978689193726	0.7304804921150208
10	1.1009432077407837	0.8538851141929626	1.6313800811767578	0.7454954981803894
11	1.0521230697631836	0.8708708882331848	1.6171162128448486	0.7507507801055908
12	0.9938948154449463	0.8805367946624756	1.6122668981552124	0.7492492198944092
13	0.9574100971221924	0.8900150060653687	1.5975925922393799	0.7590090036392212
14	0.9185663461685181	0.9033408164978027	1.6074779033660889	0.759759783744812
15	0.8972737789154053	0.9092530012130737	1.581341028213501	0.7642642855644226
16	0.8826228976249695	0.912912905216217	1.5861244201660156	0.7650150060653687
17	0.8674099445343018	0.9176989197731018	1.5757122039794922	0.7668918967247009
18	0.8561945557594299	0.921077311038971	1.5799459218978882	0.7691441178321838
19	0.8561884164810181	0.9203265905380249	1.5723849534988403	0.7687687873840332
